Serial Number,Hostname,Mgmt IP,
PE3714080395,access-switch-01,192.168.9.10,
,,,
Port,VLAN,Port Type,Description
ge-0/0/0,VL10_Desktops,Access,
ge-0/0/1,VL10_Desktops,Access,
ge-0/0/2,VL10_Desktops,Access,
ge-0/0/3,VL10_Desktops,Access,
ge-0/0/4,VL10_Desktops,Access,
ge-0/0/5,VL10_Desktops,Access,
ge-0/0/6,VL10_Desktops,Access,
ge-0/0/7,VL10_Desktops,Access,
ge-0/0/8,VL10_Desktops,Access,
ge-0/0/9,VL10_Desktops,Access,Bobs Spare port
ge-0/0/10,VL10_Desktops,Access,
ge-0/0/11,VL10_Desktops,Access,
ge-0/0/12,VL10_Desktops,Access,
ge-0/0/13,VL10_Desktops,Access,
ge-0/0/14,VL10_Desktops,Access,
ge-0/0/15,VL10_Desktops,Access,
ge-0/0/16,VL10_Desktops,Access,
ge-0/0/17,VL10_Desktops,Access,
ge-0/0/18,VL10_Desktops,Access,
ge-0/0/19,VL10_Desktops,Access,
ge-0/0/20,VL10_Desktops,Access,
ge-0/0/21,VL10_Desktops,Access,
ge-0/0/22,VL10_Desktops,Access,
ge-0/0/23,VL10_Desktops,Access,
ge-0/0/24,VL10_Desktops,Access,
ge-0/0/25,VL10_Desktops,Access,
ge-0/0/26,VL10_Desktops,Access,
ge-0/0/27,VL10_Desktops,Access,
ge-0/0/28,VL10_Desktops,Access,
ge-0/0/29,VL10_Desktops,Access,
ge-0/0/30,VL10_Desktops,Access,
ge-0/0/31,VL10_Desktops,Access,
ge-0/0/32,VL10_Desktops,Access,
ge-0/0/33,VL10_Desktops,Access,
ge-0/0/34,VL10_Desktops,Access,
ge-0/0/35,VL10_Desktops,Access,
ge-0/0/36,VL10_Desktops,Access,
ge-0/0/37,VL10_Desktops,Access,
ge-0/0/38,VL10_Desktops,Access,
ge-0/0/39,VL10_Desktops,Access,
ge-0/0/40,VL10_Desktops,Access,
ge-0/0/41,VL10_Desktops,Access,
ge-0/0/42,VL20_Printers,Access,Multifuntion Color
ge-0/0/43,VL20_Printers,Access,High Speed BW
ge-0/0/44,VL50_APMgmt,Access,AP in Foyer
ge-0/0/45,VL50_APMgmt,Access,AP in Warehouse
ge-0/0/46,ALL,Trunk,Uplink Port
ge-0/0/47,ALL,Trunk,Uplink Port
